,open,end_time,volume,start_time,close,high,low
3846,11386.88,1603004399999,10133.509,1603000800000,11446.16,11468.00,11375.50
3847,11446.16,1603007999999,5419.082,1603004400000,11452.44,11455.00,11427.03
3848,11452.45,1603011599999,5720.455,1603008000000,11427.67,11477.52,11415.09
3849,11427.06,1603015199999,3243.429,1603011600000,11407.26,11434.66,11398.00
3850,11407.26,1603018799999,2761.418,1603015200000,11419.24,11420.00,11401.90
3851,11419.25,1603022399999,2391.506,1603018800000,11417.81,11430.00,11408.00
3852,11417.81,1603025999999,2205.498,1603022400000,11418.00,11429.55,11410.00
3853,11418.00,1603029599999,2847.267,1603026000000,11435.00,11439.99,11416.35
3854,11434.60,1603033199999,9638.367,1603029600000,11429.98,11489.00,11417.43
3855,11429.99,1603036799999,2939.131,1603033200000,11445.55,11455.88,11425.00
3856,11445.54,1603040399999,3095.259,1603036800000,11454.80,11462.69,11427.01
3857,11454.79,1603043999999,2990.817,1603040400000,11460.53,11464.95,11439.60
3858,11460.53,1603047599999,3031.943,1603044000000,11436.01,11474.98,11436.00
3859,11436.01,1603051199999,1886.615,1603047600000,11430.44,11448.72,11428.69
3860,11430.44,1603054799999,3344.582,1603051200000,11435.68,11440.20,11411.00
3861,11435.68,1603058399999,1965.468,1603054800000,11451.46,11456.00,11434.15
3862,11451.47,1603061999999,3091.661,1603058400000,11457.04,11473.32,11442.43
3863,11457.05,1603065599999,8293.366,1603062000000,11501.10,11529.93,11450.07
3864,11501.50,1603069199999,12764.633,1603065600000,11465.51,11543.00,11440.02
3865,11465.49,1603072799999,2647.650,1603069200000,11459.47,11476.18,11455.50
3866,11459.48,1603076399999,3807.848,1603072800000,11452.00,11471.58,11433.08
3867,11452.00,1603079999999,4611.069,1603076400000,11412.59,11457.10,11404.01
3868,11412.59,1603083599999,2887.862,1603080000000,11438.97,11442.64,11405.00
3869,11438.96,1603087199999,2179.220,1603083600000,11436.99,11447.00,11418.01
3870,11436.99,1603090799999,3881.672,1603087200000,11448.00,11455.55,11418.94
3871,11448.00,1603094399999,3192.179,1603090800000,11459.05,11464.00,11440.66
3872,11459.05,1603097999999,2785.234,1603094400000,11462.54,11468.00,11442.62
3873,11462.54,1603101599999,4276.970,1603098000000,11482.99,11482.99,11452.56
3874,11482.98,1603105199999,4487.305,1603101600000,11475.92,11490.00,11457.28
3875,11475.93,1603108799999,8499.112,1603105200000,11474.34,11529.99,11469.19
3876,11474.34,1603112399999,10386.284,1603108800000,11510.00,11526.00,11469.60
3877,11510.00,1603115999999,39014.233,1603112400000,11635.38,11700.00,11510.00
3878,11635.38,1603119599999,16221.783,1603116000000,11645.44,11681.46,11605.55
3879,11645.44,1603123199999,38675.496,1603119600000,11801.12,11829.00,11628.93
3880,11801.12,1603126799999,16913.151,1603123200000,11757.00,11830.00,11740.89
3881,11757.01,1603130399999,7869.886,1603126800000,11720.01,11772.40,11720.00
3882,11720.01,1603133999999,13519.964,1603130400000,11665.00,11746.00,11656.01
3883,11665.01,1603137599999,8259.677,1603134000000,11687.69,11693.79,11658.00
3884,11687.68,1603141199999,6275.802,1603137600000,11718.40,11725.30,11658.01
3885,11718.41,1603144799999,5663.710,1603141200000,11741.56,11753.40,11692.49
3886,11741.55,1603148399999,6543.845,1603144800000,11728.67,11774.00,11705.44
3887,11728.67,1603151999999,4797.063,1603148400000,11745.00,11745.00,11700.00
3888,11744.99,1603155599999,4021.186,1603152000000,11721.43,11749.31,11696.04
3889,11721.42,1603159199999,5229.155,1603155600000,11694.54,11730.54,11673.00
3890,11694.53,1603162799999,2641.293,1603159200000,11713.00,11723.85,11687.31
3891,11713.00,1603166399999,4480.409,1603162800000,11737.91,11761.65,11700.86
3892,11737.92,1603169999999,3549.381,1603166400000,11719.96,11750.00,11716.24
3893,11719.49,1603173599999,4609.060,1603170000000,11750.89,11753.50,11710.48
3894,11750.89,1603177199999,10333.313,1603173600000,11784.10,11799.77,11734.50
3895,11784.10,1603180799999,22192.182,1603177200000,11730.01,11848.00,11701.00
3896,11730.22,1603184399999,9475.998,1603180800000,11734.89,11759.00,11696.00
3897,11734.89,1603187999999,8641.058,1603184400000,11777.98,11815.00,11724.13
